ACCIDENT_NO,SEVERITY,SPEED_ZONE,Region,Order1,Order2,Order3,Order
T20140023842,Minor,40 km/hr,Metro,1,,,1
T20140023843,Minor,70 km/hr,Metro,1,,,1
T20140023844,Serious,60 km/hr,Metro,,2,,2
T20140023848,Minor,60 km/hr,Metro,1,,,1
T20140024196,Minor,60 km/hr,Country,1,,,1
T20140024198,Minor,100 km/hr,Country,1,,,1
T20140024199,Minor,100 km/hr,Country,1,,,1
T20140024200,Serious,100 km/hr,Country,,2,,2
T20140024201,Minor,100 km/hr,Country,1,,,1
T20140024202,Serious,60 km/hr,Metro,,2,,2
T20140024203,Minor,40 km/hr,Metro,1,,,1
T20140024212,Serious,60 km/hr,Metro,,2,,2
T20140024214,Serious,70 km/hr,Metro,,2,,2
T20140024215,Minor,Not known,Metro,1,,,1
T20140024216,Minor,80 km/hr,Country,1,,,1
T20140024217,Minor,50 km/hr,Country,1,,,1
T20140024221,Minor,80 km/hr,Metro,1,,,1
T20140024580,Serious,60 km/hr,Metro,,2,,2
T20140024581,Minor,50 km/hr,Metro,1,,,1
T20140024584,Serious,100 km/hr,Country,,2,,2
T20140024585,Minor,50 km/hr,Metro,1,,,1
T20140024587,Serious,30 km/hr,Metro,,2,,2
T20140024590,Minor,80 km/hr,Metro,1,,,1
T20140024591,Minor,Not known,Country,1,,,1
T20140024592,Serious,Not known,Country,,2,,2
T20140024596,Serious,70 km/hr,Metro,,2,,2
T20140024597,Minor,60 km/hr,Metro,1,,,1
T20140024599,Minor,60 km/hr,Country,1,,,1
T20140024600,Minor,Other speed limit,Metro,1,,,1
T20140024601,Minor,100 km/hr,Metro,1,,,1
T20140023505,Serious,60 km/hr,Metro,,2,,2
T20140023506,Minor,100 km/hr,Country,1,,,1
T20140023509,Serious,100 km/hr,Country,,2,,2
T20140023510,Serious,80 km/hr,Metro,,2,,2
T20140023511,Minor,Not known,Country,1,,,1
T20140023512,Minor,70 km/hr,Metro,1,,,1
T20140023513,Minor,100 km/hr,Metro,1,,,1
T20140023514,Minor,60 km/hr,Country,1,,,1
T20140023517,Minor,60 km/hr,Metro,1,,,1
T20140023519,Minor,Not known,Country,1,,,1
T20140023520,Minor,60 km/hr,Metro,1,,,1
T20140023521,Serious,100 km/hr,Country,,2,,2
T20140023522,Minor,40 km/hr,Metro,1,,,1
T20140023851,Minor,60 km/hr,Country,1,,,1
T20140023852,Serious,100 km/hr,Country,,2,,2
T20140023854,Minor,50 km/hr,Metro,1,,,1
T20140023855,Serious,50 km/hr,Metro,,2,,2
T20140023856,Serious,40 km/hr,Metro,,2,,2
T20140023857,Serious,60 km/hr,Metro,,2,,2
T20140023858,Minor,60 km/hr,Metro,1,,,1
T20140023859,Serious,80 km/hr,Country,,2,,2
T20140023860,Minor,60 km/hr,Metro,1,,,1
T20140023861,Minor,100 km/hr,Country,1,,,1
T20140023863,Minor,60 km/hr,Metro,1,,,1
T20140023866,Minor,60 km/hr,Metro,1,,,1
T20140023867,Serious,100 km/hr,Country,,2,,2
T20140024222,Minor,60 km/hr,Metro,1,,,1
T20140024223,Minor,60 km/hr,Metro,1,,,1
T20140024224,Minor,50 km/hr,Metro,1,,,1
T20140024225,Serious,100 km/hr,Country,,2,,2
T20140024226,Minor,60 km/hr,Metro,1,,,1
T20140024227,Minor,Not known,Metro,1,,,1
T20140024228,Serious,60 km/hr,Metro,,2,,2
T20140024230,Minor,60 km/hr,Country,1,,,1
T20140024238,Serious,50 km/hr,Metro,,2,,2
T20140024239,Minor,80 km/hr,Metro,1,,,1
T20140024241,Minor,Not known,Country,1,,,1
T20140024243,Minor,60 km/hr,Metro,1,,,1
T20140024246,Serious,100 km/hr,Country,,2,,2
T20140024602,Minor,60 km/hr,Metro,1,,,1
T20140024603,Minor,40 km/hr,Metro,1,,,1
T20140024604,Minor,60 km/hr,Metro,1,,,1
T20140024605,Serious,60 km/hr,Metro,,2,,2
T20140024606,Minor,100 km/hr,Metro,1,,,1
T20140024609,Minor,50 km/hr,Metro,1,,,1
T20140024610,Minor,70 km/hr,Metro,1,,,1
T20140024611,Minor,Not known,Metro,1,,,1
T20140024615,Minor,100 km/hr,Metro,1,,,1
T20140024616,Serious,60 km/hr,Metro,,2,,2
T20140024617,Minor,80 km/hr,Metro,1,,,1
T20140024618,Minor,70 km/hr,Metro,1,,,1
T20140024619,Minor,50 km/hr,Metro,1,,,1
T20140023523,Minor,50 km/hr,Metro,1,,,1
T20140023524,Serious,60 km/hr,Country,,2,,2
T20140023526,Minor,100 km/hr,Country,1,,,1
T20140023528,Minor,100 km/hr,Country,1,,,1
T20140023530,Minor,50 km/hr,Metro,1,,,1
T20140023531,Minor,40 km/hr,Metro,1,,,1
T20140023534,Serious,60 km/hr,Metro,,2,,2
T20140023535,Serious,60 km/hr,Metro,,2,,2
T20140023537,Minor,70 km/hr,Metro,1,,,1
T20140023539,Minor,60 km/hr,Metro,1,,,1
T20140023540,Minor,100 km/hr,Country,1,,,1
T20140023544,Minor,50 km/hr,Metro,1,,,1
T20140023546,Minor,60 km/hr,Metro,1,,,1
T20140023868,Minor,60 km/hr,Metro,1,,,1
T20140023869,Serious,60 km/hr,Metro,,2,,2
T20140023872,Serious,100 km/hr,Country,,2,,2
T20140023873,Minor,100 km/hr,Country,1,,,1
T20140023874,Minor,60 km/hr,Metro,1,,,1
T20140023876,Minor,80 km/hr,Metro,1,,,1
T20140023879,Serious,Not known,Country,,2,,2
T20140023883,Serious,50 km/hr,Metro,,2,,2
T20140023884,Serious,70 km/hr,Metro,,2,,2
T20140023887,Minor,70 km/hr,Metro,1,,,1
T20140023888,Minor,40 km/hr,Metro,1,,,1
T20140023889,Minor,100 km/hr,Country,1,,,1
T20140023891,Serious,90 km/hr,Metro,,2,,2
T20140024247,Serious,50 km/hr,Metro,,2,,2
T20140024248,Serious,60 km/hr,Metro,,2,,2
T20140024249,Serious,60 km/hr,Metro,,2,,2
T20140024252,Serious,100 km/hr,Country,,2,,2
T20140024255,Minor,40 km/hr,Country,1,,,1
T20140024256,Minor,Not known,Metro,1,,,1
T20140024257,Minor,60 km/hr,Metro,1,,,1
T20140024258,Serious,60 km/hr,Metro,,2,,2
T20140024262,Minor,Other speed limit,Metro,1,,,1
T20140024263,Minor,50 km/hr,Metro,1,,,1
T20140024264,Minor,80 km/hr,Metro,1,,,1
T20140024267,Minor,70 km/hr,Metro,1,,,1
T20140024271,Minor,50 km/hr,Metro,1,,,1
T20140024620,Serious,60 km/hr,Metro,,2,,2
T20140024622,Minor,60 km/hr,Metro,1,,,1
T20140024624,Minor,50 km/hr,Country,1,,,1
T20140024626,Minor,100 km/hr,Metro,1,,,1
T20140024627,Minor,Not known,Country,1,,,1
T20140024630,Minor,70 km/hr,Metro,1,,,1
T20140024632,Fatal,100 km/hr,Country,,,3,3
T20140024634,Minor,60 km/hr,Metro,1,,,1
T20140024637,Fatal,100 km/hr,Country,,,3,3
T20140024638,Minor,60 km/hr,Metro,1,,,1
T20140024640,Serious,80 km/hr,Metro,,2,,2
T20140024641,Minor,60 km/hr,Metro,1,,,1
T20140024642,Serious,100 km/hr,Metro,,2,,2
T20140023547,Minor,60 km/hr,Metro,1,,,1
T20140023548,Minor,70 km/hr,Metro,1,,,1
T20140023549,Serious,50 km/hr,Metro,,2,,2
T20140023550,Serious,100 km/hr,Country,,2,,2
T20140023551,Minor,40 km/hr,Country,1,,,1
T20140023552,Minor,100 km/hr,Metro,1,,,1
T20140023555,Serious,100 km/hr,Metro,,2,,2
T20140023556,Minor,80 km/hr,Metro,1,,,1
T20140023559,Serious,80 km/hr,Metro,,2,,2
T20140023560,Serious,Off road,Country,,2,,2
T20140023561,Minor,60 km/hr,Country,1,,,1
T20140023562,Minor,60 km/hr,Metro,1,,,1
T20140023563,Minor,40 km/hr,Metro,1,,,1
T20140023893,Serious,70 km/hr,Metro,,2,,2
T20140023895,Minor,60 km/hr,Metro,1,,,1
T20140023899,Minor,60 km/hr,Metro,1,,,1
T20140023901,Serious,60 km/hr,Metro,,2,,2
T20140023905,Serious,50 km/hr,Metro,,2,,2
T20140023907,Serious,100 km/hr,Metro,,2,,2
T20140023910,Serious,100 km/hr,Country,,2,,2
T20140023911,Minor,80 km/hr,Metro,1,,,1
T20140023915,Minor,60 km/hr,Metro,1,,,1
T20140023916,Minor,100 km/hr,Metro,1,,,1
T20140023917,Minor,60 km/hr,Metro,1,,,1
T20140023918,Minor,50 km/hr,Country,1,,,1
T20140023919,Minor,50 km/hr,Metro,1,,,1
T20140024272,Minor,60 km/hr,Country,1,,,1
T20140024273,Serious,90 km/hr,Metro,,2,,2
T20140024274,Serious,Not known,Country,,2,,2
T20140024275,Minor,70 km/hr,Metro,1,,,1
T20140024276,Minor,80 km/hr,Country,1,,,1
T20140024277,Minor,100 km/hr,Metro,1,,,1
T20140024278,Minor,50 km/hr,Country,1,,,1
T20140024279,Minor,70 km/hr,Metro,1,,,1
T20140024281,Minor,40 km/hr,Metro,1,,,1
T20140024282,Minor,100 km/hr,Country,1,,,1
T20140024284,Serious,100 km/hr,Country,,2,,2
T20140024285,Minor,70 km/hr,Metro,1,,,1
T20140024286,Minor,60 km/hr,Metro,1,,,1
T20140024647,Fatal,60 km/hr,Country,,,3,3
T20140024650,Serious,60 km/hr,Metro,,2,,2
T20140024652,Minor,60 km/hr,Metro,1,,,1
T20140024653,Minor,80 km/hr,Metro,1,,,1
T20140024654,Serious,100 km/hr,Metro,,2,,2
T20140024658,Serious,80 km/hr,Metro,,2,,2
T20140024660,Minor,80 km/hr,Metro,1,,,1
T20140024661,Minor,60 km/hr,Country,1,,,1
T20140024663,Minor,100 km/hr,Country,1,,,1
T20140024664,Minor,60 km/hr,Metro,1,,,1
T20140024665,Serious,100 km/hr,Country,,2,,2
T20140024668,Minor,50 km/hr,Country,1,,,1
T20140024670,Minor,100 km/hr,Metro,1,,,1
T20140023564,Minor,70 km/hr,Metro,1,,,1
T20140023565,Minor,100 km/hr,Country,1,,,1
T20140023567,Serious,70 km/hr,Metro,,2,,2
T20140023569,Minor,Not known,Metro,1,,,1
T20140023570,Minor,60 km/hr,Metro,1,,,1
T20140023571,Minor,50 km/hr,Metro,1,,,1
T20140023572,Minor,60 km/hr,Metro,1,,,1
T20140023573,Minor,50 km/hr,Metro,1,,,1
T20140023574,Minor,40 km/hr,Metro,1,,,1
T20140023575,Serious,Not known,Metro,,2,,2
T20140023576,Minor,70 km/hr,Country,1,,,1
T20140023578,Minor,80 km/hr,Metro,1,,,1
T20140023580,Minor,50 km/hr,Metro,1,,,1
T20140023920,Minor,Not known,Country,1,,,1
T20140023921,Minor,80 km/hr,Metro,1,,,1
T20140023922,Minor,60 km/hr,Metro,1,,,1
T20140023923,Serious,60 km/hr,Metro,,2,,2
T20140023926,Minor,60 km/hr,Metro,1,,,1
T20140023928,Minor,60 km/hr,Metro,1,,,1
T20140023929,Minor,80 km/hr,Metro,1,,,1
T20140023930,Minor,Not known,Metro,1,,,1
T20140023932,Minor,80 km/hr,Metro,1,,,1
T20140023936,Minor,60 km/hr,Metro,1,,,1
T20140023939,Serious,50 km/hr,Metro,,2,,2
T20140023941,Minor,70 km/hr,Metro,1,,,1
T20140023942,Minor,40 km/hr,Metro,1,,,1
T20140024287,Serious,60 km/hr,Metro,,2,,2
T20140024289,Minor,100 km/hr,Country,1,,,1
T20140024290,Serious,Not known,Metro,,2,,2
T20140024295,Minor,60 km/hr,Metro,1,,,1
T20140024296,Serious,110 km/hr,Country,,2,,2
T20140024297,Minor,80 km/hr,Metro,1,,,1
T20140024298,Serious,70 km/hr,Metro,,2,,2
T20140024300,Serious,90 km/hr,Metro,,2,,2
T20140024303,Serious,100 km/hr,Country,,2,,2
T20140024305,Minor,60 km/hr,Metro,1,,,1
T20140024306,Minor,100 km/hr,Country,1,,,1
T20140024311,Serious,100 km/hr,Country,,2,,2
T20140024313,Serious,100 km/hr,Country,,2,,2
T20140024673,Minor,50 km/hr,Metro,1,,,1
T20140024678,Serious,60 km/hr,Metro,,2,,2
T20140024679,Serious,Not known,Country,,2,,2
T20140024680,Minor,60 km/hr,Country,1,,,1
T20140024682,Minor,60 km/hr,Metro,1,,,1
T20140024683,Minor,50 km/hr,Metro,1,,,1
T20140024686,Minor,60 km/hr,Country,1,,,1
T20140024687,Minor,70 km/hr,Metro,1,,,1
T20140024688,Minor,40 km/hr,Metro,1,,,1
T20140024689,Minor,100 km/hr,Country,1,,,1
T20140024692,Minor,70 km/hr,Metro,1,,,1
T20140024696,Minor,Not known,Country,1,,,1
T20140024698,Minor,110 km/hr,Country,1,,,1
T20140024699,Serious,60 km/hr,Metro,,2,,2
T20140023581,Serious,60 km/hr,Metro,,2,,2
T20140023582,Minor,100 km/hr,Country,1,,,1
T20140023585,Minor,60 km/hr,Metro,1,,,1
T20140023586,Serious,60 km/hr,Metro,,2,,2
T20140023587,Serious,40 km/hr,Metro,,2,,2
T20140023588,Minor,40 km/hr,Metro,1,,,1
T20140023589,Minor,60 km/hr,Metro,1,,,1
T20140023591,Minor,80 km/hr,Metro,1,,,1
T20140023592,Minor,Not known,Country,1,,,1
T20140023594,Serious,80 km/hr,Metro,,2,,2
T20140023596,Serious,100 km/hr,Country,,2,,2
T20140023597,Minor,80 km/hr,Metro,1,,,1
T20140023599,Minor,70 km/hr,Metro,1,,,1
T20140023943,Serious,60 km/hr,Country,,2,,2
T20140023946,Minor,70 km/hr,Metro,1,,,1
T20140023947,Minor,60 km/hr,Metro,1,,,1
T20140023948,Minor,80 km/hr,Metro,1,,,1
T20140023950,Serious,100 km/hr,Country,,2,,2
T20140023951,Minor,40 km/hr,Metro,1,,,1
T20140023952,Serious,60 km/hr,Metro,,2,,2
T20140023953,Minor,100 km/hr,Country,1,,,1
T20140023954,Minor,50 km/hr,Metro,1,,,1
T20140023956,Minor,60 km/hr,Metro,1,,,1
T20140023958,Minor,70 km/hr,Metro,1,,,1
T20140023961,Minor,40 km/hr,Metro,1,,,1
T20140023962,Minor,100 km/hr,Country,1,,,1
T20140024315,Serious,100 km/hr,Country,,2,,2
T20140024316,Minor,60 km/hr,Metro,1,,,1
T20140024318,Minor,70 km/hr,Metro,1,,,1
T20140024319,Serious,50 km/hr,Metro,,2,,2
T20140024322,Minor,60 km/hr,Metro,1,,,1
T20140024327,Serious,70 km/hr,Metro,,2,,2
T20140024328,Minor,80 km/hr,Country,1,,,1
T20140024329,Minor,60 km/hr,Metro,1,,,1
T20140024332,Serious,50 km/hr,Metro,,2,,2
T20140024334,Minor,70 km/hr,Metro,1,,,1
T20140024335,Minor,80 km/hr,Metro,1,,,1
T20140024337,Minor,Not known,Metro,1,,,1
T20140024339,Minor,60 km/hr,Metro,1,,,1
T20140024700,Serious,100 km/hr,Country,,2,,2
T20140024704,Minor,40 km/hr,Metro,1,,,1
T20140024706,Minor,80 km/hr,Metro,1,,,1
T20140024707,Serious,40 km/hr,Country,,2,,2
T20140024710,Minor,Not known,Metro,1,,,1
T20140024711,Minor,50 km/hr,Metro,1,,,1
T20140024712,Minor,80 km/hr,Metro,1,,,1
T20140024713,Serious,80 km/hr,Country,,2,,2
T20140024714,Minor,50 km/hr,Metro,1,,,1
T20140024715,Serious,40 km/hr,Metro,,2,,2
T20140024717,Fatal,100 km/hr,Country,,,3,3
T20140024722,Minor,Not known,Metro,1,,,1
T20140024725,Minor,100 km/hr,Metro,1,,,1
T20140023603,Minor,100 km/hr,Country,1,,,1
T20140023607,Serious,70 km/hr,Metro,,2,,2
T20140023608,Minor,60 km/hr,Metro,1,,,1
T20140023611,Minor,70 km/hr,Metro,1,,,1
T20140023612,Minor,Not known,Country,1,,,1
T20140023613,Serious,100 km/hr,Country,,2,,2
T20140023614,Serious,70 km/hr,Metro,,2,,2
T20140023615,Minor,60 km/hr,Metro,1,,,1
T20140023617,Minor,60 km/hr,Metro,1,,,1
T20140023618,Serious,50 km/hr,Metro,,2,,2
T20140023620,Minor,40 km/hr,Metro,1,,,1
T20140023621,Minor,50 km/hr,Metro,1,,,1
T20140023623,Minor,80 km/hr,Country,1,,,1
T20140023963,Serious,60 km/hr,Metro,,2,,2
T20140023964,Minor,50 km/hr,Country,1,,,1
T20140023965,Minor,50 km/hr,Metro,1,,,1
T20140023969,Minor,Not known,Metro,1,,,1
T20140023970,Minor,80 km/hr,Metro,1,,,1
T20140023971,Serious,50 km/hr,Metro,,2,,2
T20140023977,Minor,100 km/hr,Country,1,,,1
T20140023979,Minor,100 km/hr,Metro,1,,,1
T20140023980,Minor,50 km/hr,Country,1,,,1
T20140023981,Minor,60 km/hr,Metro,1,,,1
T20140023982,Minor,70 km/hr,Metro,1,,,1
T20140023983,Serious,80 km/hr,Metro,,2,,2
T20140023985,Minor,60 km/hr,Metro,1,,,1
T20140024340,Serious,50 km/hr,Country,,2,,2
T20140024341,Minor,60 km/hr,Metro,1,,,1
T20140024344,Minor,70 km/hr,Metro,1,,,1
T20140024345,Minor,40 km/hr,Metro,1,,,1
T20140024348,Minor,50 km/hr,Metro,1,,,1
T20140024349,Minor,60 km/hr,Metro,1,,,1
T20140024350,Minor,80 km/hr,Metro,1,,,1
T20140024352,Serious,50 km/hr,Metro,,2,,2
T20140024353,Minor,Not known,Country,1,,,1
T20140024354,Minor,100 km/hr,Country,1,,,1
T20140024357,Minor,60 km/hr,Metro,1,,,1
T20140024363,Minor,40 km/hr,Country,1,,,1
T20140024364,Minor,70 km/hr,Metro,1,,,1
T20140024726,Minor,50 km/hr,Metro,1,,,1
T20140024727,Serious,60 km/hr,Country,,2,,2
T20140024729,Serious,80 km/hr,Metro,,2,,2
T20140024731,Minor,100 km/hr,Country,1,,,1
T20140024734,Minor,40 km/hr,Metro,1,,,1
T20140024735,Minor,60 km/hr,Country,1,,,1
T20140024738,Minor,100 km/hr,Country,1,,,1
T20140024739,Minor,70 km/hr,Metro,1,,,1
T20140024742,Minor,80 km/hr,Metro,1,,,1
T20140024744,Fatal,60 km/hr,Metro,,,3,3
T20140024745,Minor,60 km/hr,Metro,1,,,1
T20140024746,Minor,100 km/hr,Country,1,,,1
T20140024750,Minor,100 km/hr,Country,1,,,1
T20140023625,Minor,60 km/hr,Country,1,,,1
T20140023626,Minor,110 km/hr,Country,1,,,1
T20140023629,Minor,50 km/hr,Metro,1,,,1
T20140023633,Serious,80 km/hr,Metro,,2,,2
T20140023635,Minor,60 km/hr,Metro,1,,,1
T20140023639,Minor,60 km/hr,Metro,1,,,1
T20140023644,Minor,60 km/hr,Metro,1,,,1
T20140023648,Minor,100 km/hr,Country,1,,,1
T20140023652,Serious,100 km/hr,Country,,2,,2
T20140023653,Minor,60 km/hr,Metro,1,,,1
T20140023654,Minor,50 km/hr,Country,1,,,1
T20140023655,Serious,70 km/hr,Metro,,2,,2
T20140023656,Serious,80 km/hr,Metro,,2,,2
T20140023987,Minor,Not known,Country,1,,,1
T20140023988,Minor,100 km/hr,Metro,1,,,1
T20140023989,Minor,100 km/hr,Country,1,,,1
T20140023990,Minor,60 km/hr,Country,1,,,1
T20140023991,Serious,80 km/hr,Country,,2,,2
T20140023994,Minor,60 km/hr,Metro,1,,,1
T20140023998,Serious,50 km/hr,Country,,2,,2
T20140024001,Minor,50 km/hr,Metro,1,,,1
T20140024002,Serious,100 km/hr,Country,,2,,2
T20140024003,Minor,60 km/hr,Metro,1,,,1
T20140024008,Minor,100 km/hr,Country,1,,,1
T20140024011,Minor,40 km/hr,Metro,1,,,1
T20140024012,Minor,Not known,Metro,1,,,1
T20140024365,Minor,100 km/hr,Country,1,,,1
T20140024366,Minor,60 km/hr,Metro,1,,,1
T20140024368,Minor,100 km/hr,Country,1,,,1
T20140024370,Minor,50 km/hr,Country,1,,,1
T20140024375,Serious,100 km/hr,Metro,,2,,2
T20140024377,Minor,80 km/hr,Country,1,,,1
T20140024378,Minor,80 km/hr,Metro,1,,,1
T20140024381,Minor,50 km/hr,Metro,1,,,1
T20140024382,Minor,40 km/hr,Metro,1,,,1
T20140024383,Minor,60 km/hr,Country,1,,,1
T20140024384,Serious,60 km/hr,Metro,,2,,2
T20140024385,Serious,60 km/hr,Metro,,2,,2
T20140024386,Serious,50 km/hr,Country,,2,,2
T20140024751,Minor,60 km/hr,Metro,1,,,1
T20140024752,Minor,60 km/hr,Country,1,,,1
T20140024753,Minor,60 km/hr,Metro,1,,,1
T20140024754,Serious,60 km/hr,Metro,,2,,2
T20140024756,Minor,Not known,Country,1,,,1
T20140024757,Serious,70 km/hr,Country,,2,,2
T20140024760,Minor,50 km/hr,Metro,1,,,1
T20140024761,Minor,60 km/hr,Metro,1,,,1
T20140024762,Minor,60 km/hr,Metro,1,,,1
T20140024766,Minor,60 km/hr,Metro,1,,,1
T20140024768,Minor,60 km/hr,Metro,1,,,1
T20140024770,Serious,80 km/hr,Metro,,2,,2
T20140024772,Serious,50 km/hr,Metro,,2,,2
T20140023657,Minor,50 km/hr,Metro,1,,,1
T20140023659,Minor,60 km/hr,Country,1,,,1
T20140023660,Serious,60 km/hr,Metro,,2,,2
T20140023664,Minor,100 km/hr,Country,1,,,1
T20140023665,Serious,60 km/hr,Metro,,2,,2
T20140023669,Serious,60 km/hr,Country,,2,,2
T20140023670,Serious,60 km/hr,Metro,,2,,2
T20140023673,Serious,60 km/hr,Metro,,2,,2
T20140023674,Minor,50 km/hr,Country,1,,,1
T20140023676,Minor,60 km/hr,Country,1,,,1
T20140023678,Minor,60 km/hr,Metro,1,,,1
T20140023681,Minor,110 km/hr,Country,1,,,1
T20140023682,Serious,Not known,Country,,2,,2
T20140024014,Minor,60 km/hr,Metro,1,,,1
T20140024015,Minor,40 km/hr,Metro,1,,,1
T20140024017,Minor,60 km/hr,Metro,1,,,1
T20140024019,Minor,60 km/hr,Metro,1,,,1
T20140024020,Serious,60 km/hr,Metro,,2,,2
T20140024022,Serious,80 km/hr,Country,,2,,2
T20140024024,Serious,Not known,Country,,2,,2
T20140024026,Serious,100 km/hr,Country,,2,,2
T20140024027,Minor,100 km/hr,Country,1,,,1
T20140024028,Minor,Not known,Country,1,,,1
T20140024030,Minor,60 km/hr,Country,1,,,1
T20140024035,Serious,60 km/hr,Metro,,2,,2
T20140024036,Minor,50 km/hr,Metro,1,,,1
T20140024387,Minor,100 km/hr,Country,1,,,1
T20140024390,Minor,Not known,Metro,1,,,1
T20140024392,Minor,40 km/hr,Metro,1,,,1
T20140024393,Minor,Not known,Country,1,,,1
T20140024394,Minor,50 km/hr,Country,1,,,1
T20140024395,Minor,100 km/hr,Metro,1,,,1
T20140024396,Fatal,110 km/hr,Country,,,3,3
T20140024409,Serious,Not known,Metro,,2,,2
T20140024411,Minor,80 km/hr,Metro,1,,,1
T20140024412,Minor,60 km/hr,Country,1,,,1
T20140024413,Serious,100 km/hr,Metro,,2,,2
T20140024414,Minor,50 km/hr,Country,1,,,1
T20140024416,Minor,60 km/hr,Metro,1,,,1
T20140024774,Minor,50 km/hr,Metro,1,,,1
T20140024775,Fatal,90 km/hr,Metro,,,3,3
T20140024776,Serious,80 km/hr,Metro,,2,,2
T20140024779,Serious,80 km/hr,Country,,2,,2
T20140024782,Serious,100 km/hr,Country,,2,,2
T20140024783,Serious,50 km/hr,Country,,2,,2
T20140024785,Minor,60 km/hr,Metro,1,,,1
T20140024788,Serious,80 km/hr,Metro,,2,,2
T20140024792,Minor,60 km/hr,Metro,1,,,1
T20140024793,Minor,60 km/hr,Metro,1,,,1
T20140024794,Fatal,100 km/hr,Country,,,3,3
T20140024799,Minor,Other speed limit,Metro,1,,,1
T20140024800,Minor,100 km/hr,Country,1,,,1
T20140022543,Minor,50 km/hr,Metro,1,,,1
T20140022545,Minor,100 km/hr,Country,1,,,1
T20140022546,Fatal,100 km/hr,Country,,,3,3
T20140022550,Minor,50 km/hr,Metro,1,,,1
T20140022551,Minor,60 km/hr,Metro,1,,,1
T20140022553,Minor,60 km/hr,Metro,1,,,1
T20140022554,Serious,50 km/hr,Metro,,2,,2
T20140022555,Minor,50 km/hr,Metro,1,,,1
T20140022556,Serious,60 km/hr,Metro,,2,,2
T20140022560,Minor,100 km/hr,Country,1,,,1
T20140022561,Minor,80 km/hr,Metro,1,,,1
T20140022562,Serious,50 km/hr,Metro,,2,,2
T20140022565,Minor,60 km/hr,Metro,1,,,1
T20140022947,Serious,100 km/hr,Country,,2,,2
T20140022951,Serious,60 km/hr,Metro,,2,,2
T20140022952,Minor,60 km/hr,Metro,1,,,1
T20140022953,Serious,60 km/hr,Metro,,2,,2
T20140022956,Minor,100 km/hr,Metro,1,,,1
T20140022957,Minor,40 km/hr,Metro,1,,,1
T20140022959,Minor,70 km/hr,Metro,1,,,1
T20140022960,Minor,50 km/hr,Metro,1,,,1
T20140022961,Minor,70 km/hr,Metro,1,,,1
T20140022965,Serious,40 km/hr,Metro,,2,,2
T20140022966,Serious,60 km/hr,Metro,,2,,2
T20140022967,Minor,60 km/hr,Metro,1,,,1
T20140022969,Serious,60 km/hr,Country,,2,,2
T20140023345,Minor,80 km/hr,Metro,1,,,1
T20140023346,Minor,50 km/hr,Country,1,,,1
T20140023347,Serious,60 km/hr,Metro,,2,,2
T20140023349,Minor,100 km/hr,Country,1,,,1
T20140023352,Minor,40 km/hr,Metro,1,,,1
T20140023353,Minor,60 km/hr,Metro,1,,,1
T20140023355,Serious,40 km/hr,Metro,,2,,2
T20140023356,Minor,60 km/hr,Metro,1,,,1
T20140023357,Minor,80 km/hr,Metro,1,,,1
T20140023359,Serious,70 km/hr,Metro,,2,,2
T20140023360,Minor,100 km/hr,Metro,1,,,1
T20140023362,Serious,80 km/hr,Metro,,2,,2
T20140023363,Minor,80 km/hr,Metro,1,,,1
T20140022137,Minor,60 km/hr,Metro,1,,,1
T20140022140,Serious,50 km/hr,Metro,,2,,2
T20140022141,Minor,100 km/hr,Country,1,,,1
T20140022143,Serious,Not known,Country,,2,,2
T20140022144,Fatal,80 km/hr,Country,,,3,3
T20140022147,Minor,60 km/hr,Metro,1,,,1
T20140022149,Minor,Not known,Country,1,,,1
T20140022150,Minor,60 km/hr,Metro,1,,,1
T20140022151,Serious,100 km/hr,Metro,,2,,2
T20140022153,Minor,70 km/hr,Metro,1,,,1
T20140022154,Minor,60 km/hr,Metro,1,,,1
T20140022155,Minor,80 km/hr,Metro,1,,,1
T20140022158,Minor,100 km/hr,Metro,1,,,1
T20140022571,Minor,50 km/hr,Country,1,,,1
T20140022572,Minor,70 km/hr,Metro,1,,,1
T20140022573,Minor,40 km/hr,Metro,1,,,1
T20140022574,Minor,100 km/hr,Metro,1,,,1
T20140022577,Minor,40 km/hr,Metro,1,,,1
T20140022581,Minor,50 km/hr,Metro,1,,,1
T20140022582,Minor,60 km/hr,Metro,1,,,1
T20140022584,Minor,50 km/hr,Country,1,,,1
T20140022585,Minor,60 km/hr,Metro,1,,,1
T20140022586,Minor,80 km/hr,Metro,1,,,1
T20140022591,Minor,60 km/hr,Country,1,,,1
T20140022594,Serious,80 km/hr,Metro,,2,,2
T20140022595,Minor,50 km/hr,Country,1,,,1
T20140022596,Minor,60 km/hr,Metro,1,,,1
T20140022973,Minor,60 km/hr,Metro,1,,,1
T20140022974,Serious,Not known,Country,,2,,2
T20140022977,Serious,60 km/hr,Metro,,2,,2
T20140022978,Minor,40 km/hr,Metro,1,,,1
T20140022980,Serious,50 km/hr,Country,,2,,2
T20140022981,Serious,100 km/hr,Metro,,2,,2
T20140022984,Serious,100 km/hr,Country,,2,,2
T20140022986,Minor,Not known,Metro,1,,,1
T20140022988,Serious,110 km/hr,Country,,2,,2
T20140022989,Minor,50 km/hr,Metro,1,,,1
T20140022997,Minor,60 km/hr,Country,1,,,1
T20140022998,Minor,Not known,Metro,1,,,1
T20140023000,Serious,60 km/hr,Metro,,2,,2
T20140023364,Minor,60 km/hr,Country,1,,,1
